Site name,Beech Boy Site (Year),Beech Boy Code,Beech Boy Survey,Site code,Country Code,Country,Site area (ha),Area of study (ha),Dead wood sampling method,Latidute N (new),Longitude E (new),Altitude (m),Altitude average (m),Altitude (STRM),Annual precipitation (diff. sources) (mm),Precipitation of Warmest Quarter (bio18),Precipitation in vegetation period,Annual precipitation (Bio12) (mm),Annual evaporation (mm),Water balance (prec - evap),Snow cover (MODIS MYD10v5),Mean temperature of the warmst month,Max temp. of warmest month (Bio5),Mean temperature of the coldest month,Min temp. of coldest month (Bio6),Temp. Annual range (Bio7),Mean annual temperature,Mean temperature in vegetation period,Mean Temperature of Warmest Quarter (Bio10),Annual Mean Temp. (Bio1),"Soil type (FAO85-LEV1, EU soil atlas)",Ellenberg quotient (Q),Lang Quotient (Based on WorldClim),CORINE 2006,Main tree species (only tree species with more than 10 m3 living volume),Forest type BEAR,Beech proportion,Deciduous proportion (minus beech),Conifer proportion,Eunis (only dominating forest type),Forest type (Natura 2000) EU-habitat Directive,Natural Disturbance - Wind,Natural Disturbance - Snow,Natural Disturbance - Waterlogging,Natural Disturbance - Drought,Natural Disturbance - Insects,Natural Disturbance - Fungi,Reserve established (year),Reserve age,Reserve classification,Virgin forest,Former coppice,Former high forest,Former wood pasture,Living tree volume (m3 ha-1) TOTAL, Living tree volume (m3 ha-1) Fagus,Living tree volume (m3 ha-1) Quercus,Living tree volume (m3 ha-1) Fraxinus,Living tree volume (m3 ha-1) Acer,Living tree volume (m3 ha-1) Other decideuous, Living tree volume (m3 ha-1) Abies,Living tree volume (m3 ha-1) Picea,Living tree volume (m3 ha-1) Other coniferous,Living tree volume (m3 ha-1) Minimum dbh recorded (cm),Living tree volume (m3 ha-1) Year recorded,Snag & standing dead trees  volume (m3 ha-1) TOTAL,Snag & standing dead trees  volume (m3 ha-1) Fagus,Snag & standing dead trees  volume (m3 ha-1) Quercus,Snag & standing dead trees  volume (m3 ha-1) Fraxinus,Snag & standing dead trees  volume (m3 ha-1) Acer,Snag & standing dead trees  volume (m3 ha-1) Other decideuous,Snag & standing dead trees  volume (m3 ha-1) Abies,Snag & standing dead trees  volume (m3 ha-1) Picea,Snag & standing dead trees  volume (m3 ha-1) Other coniferous,Snag & standing dead trees  volume (m3 ha-1) Minimum dbh recorded (cm),Snag & standing dead trees  volume (m3 ha-1) Year recorded,Fallen log volume (m3 ha-1) TOTAL,Fallen log volume (m3 ha-1) Fagus,Fallen log volume (m3 ha-1) Quercus,Fallen log volume (m3 ha-1) Fraxinus, Fallen log volume (m3 ha-1) Acer,Fallen log volume (m3 ha-1) Other decideuous,Fallen log volume (m3 ha-1) Abies,Fallen log volume (m3 ha-1) Picea,Fallen log volume (m3 ha-1) Other coniferous,Fallen log volume (m3 ha-1) Minimum dbh recorded (cm),Fallen log volume (m3 ha-1) Year recorded,Total dead volume (m3 ha-1) TOTAL,Total dead volume (m3 ha-1) Fagus,Total dead volume (m3 ha-1) Quercus,Total dead volume (m3 ha-1) Fraxinus,Total dead volume (m3 ha-1)  Acer,Total dead volume (m3 ha-1) Other decideuous,Total dead volume (m3 ha-1) Abies,Total dead volume (m3 ha-1) Picea,Total dead volume (m3 ha-1) Other coniferous,Dead/living volume (%),Snag/log ratio (%),No. of sampled trees,Decay stages of CWD4,Beech Boys average dbh,Beech Boys average DC,Beech Boys average moss cover,Beech Boys average bark cover,Beech Boys average soil contact,Beech Boys number of logs,Beech Boys number of species,Beech Boys Chao2 estimated species richness (based on n=20),Beech Boys number of fungi per log,Vegetation (Nerea),UTMY,UTMX,UTMzone,Connectivity 1 km,Connectivity 10 km,Connectivity 100 km,Beech Boys Region
Milesice,,,,,CZ,Czech Republic,9.63,,,48.98468882,13.83877833,1070-1125,,,,,,1144,368,776,27.2,,18.3,,-8.5,26.8,,,,4.1,B,,279,24,"Pi, Fa, Ab",,,,,,,,,,,,,,2014,,,,,,567,,,,,,,,,10 cm,,47,,,,,,,,,10 cm,1996,91,,,,,,,,,10 cm,,139,,,,,,,,,,0.24,,,,,,,,,,,,,,,, 1.79    , 2.01    , 1.35    ,
Milesice,,,,,CZ,Czech Republic,9.63,,,48.98468882,13.83877833,1070-1125,,,,,,1144,368,776,27.2,,18.3,,-8.5,26.8,,,,4.1,B,,279,24,"Pi, Fa, Ab",,,,,,,,,,,,,,2014,,,,,,476,,,,,,,,,10 cm,,27,,,,,,,,,10 cm,1972,58,,,,,,,,,10 cm,,85,,,,,,,,,,0.18,,,,,,,,,,,,,,,, 1.79    , 2.01    , 1.35    ,
Mionsí,,,,CZ_Mion,CZ,Czech Republic,171.1,5.9,CS,49.53601871,18.66004724,620-950,785,,1228,,,1000,359,641,27.0,16.2,20.5,-3.2,-8.4,28.9,6.6,,,5.6,B,13.2,179,23,"Fa, Ac, Ab",F5a,0.80,0.14,0.06,G1.63,9130,,,,,,,1933,81,1,,,,P,590,471,0,2,81,0,35,2,0,10,1994,57,7,0,0,0,0,45,5,0,10,1994,98,25,0,0,0,0,72,1,0,10,1994,155,32,0,0,0,0,117,6,0,0.26,0.37,,,,,,,,,,,,,,,,,,,
Mionsí,,,,,CZ,Czech Republic,171.07,,,49.53601871,18.66004724,620-950,,,,,,1000,359,641,27.0,,20.5,,-8.4,28.9,,,,5.6,B,,179,23,"Fa, Ac, Ab",,,,,,,,,,,,,,2014,,,,,,590,,,,,,,,,10 cm,,57,,,,,,,,,10 cm,1994,98,,,,,,,,,10 cm,,155,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,
Polom,,,,CZ_Polom,CZ,Czech Republic,19.3,19.3,CS,49.79172662,15.75354483,545-625,585,,786,,,649,447,202,20.5,16.0,21.6,-3.6,-6.2,27.2,6.0,,,6.3,B,20.4,103,24,"Pi, Fa, Ac,  Al, Fr",F5b,0.17,0.12,0.71,G1.63,9130,W,,Wa,,I,F,1955,59,0,,,H,,593,103,0,14,31,24,4,417,0,10,1995,44,16,0,1,0,1,12,14,0,10,1995,94,55,0,1,2,0,17,19,0,10,1995,138,71,0,2,2,1,29,33,0,0.23,0.32,,,,,,,,,,,,,,,,,,,
Polom,,,,,CZ,Czech Republic,19.34,,,49.79172662,15.75354483,545-625,,,,,,649,447,202,20.5,,21.6,,-6.2,27.2,,,,6.3,B,,103,24,"Pi, Fa, Ab, Ac",,,,,,,,,,,,,,2014,,,,,,545,,,,,,,,,?,,51,,,,,,,,,?,1973,77,,,,,,,,,?,,128,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,
Polom,,,,,CZ,Czech Republic,19.34,,,49.79172662,15.75354483,545-625,,,,,,649,447,202,20.5,,21.6,,-6.2,27.2,,,,6.3,B,,103,24,"Pi, Fa, Ac, Fr",,,,,,,,,,,,,,2014,,,,,,593,,,,,,,,,?,,44,,,,,,,,,?,1995,94,,,,,,,,,?,,138,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,
Razula,,,,CZ_Razu,CZ,Czech Republic,23.5,22.8,CS,49.35909584,18.38190038,600-812,706,,1083,,,942,359,583,29.2,17.2,20.6,-3.6,-8.0,28.6,6.2,,,5.8,B,15.9,162,25,"Fa, Ab, Pi",F5b,0.66,0.00,0.34,G1.63,9130,W,S,,,,,1933,81,1,,,H,P,592,389,0,0,0,0,139,64,0,20,1995,65,6,0,0,0,0,56,3,0,20,1995,144,42,0,0,0,0,91,11,0,20,1995,209,48,0,0,0,0,147,14,0,0.35,0.31,,,,,,,,,,,,,,,,,,,
Razula,,,,,CZ,Czech Republic,23.52,,,49.35909584,18.38190038,600-812,,,,,,942,359,583,29.2,,20.6,,-8.0,28.6,,,,5.8,B,,162,25,"Fa, Ab, Pi",,,,,,,,,,,,,,2014,,,,,,550,,,,,,,,,?,,152,,,,,,,,,?,1972,14,,,,,,,,,?,,167,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,
Razula,,,,,CZ,Czech Republic,23.52,,,49.35909584,18.38190038,600-812,,,,,,942,359,583,29.2,,20.6,,-8.0,28.6,,,,5.8,B,,162,25,"Fa, Ab, Pi",,,,,,,,,,,,,,2014,,,,,,592,,,,,,,,,?,,65,,,,,,,,,?,1995,144,,,,,,,,,?,,209,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,
Salajka,,,,CZ_Salaj,CZ,Czech Republic,21.9,19.0,CS,49.401542,18.417047,715-815,765,,1144,,,963,359,604,31.3,15.3,20.4,-4.7,-8.1,28.5,5.4,,,5.6,B,13.4,172,23,"Fa, Ab, Pi",F5b,0.60,0.01,0.39,G1.63,9130,W,,,,,,1956,58,0,,,H,,473,284,0,0,4,0,140,44,0,10,1994,80,7,0,0,0,0,69,4,0,10,1994,144,23,0,0,0,0,116,5,0,10,1994,224,30,0,0,0,0,185,9,0,0.47,0.36,,,,,,,,,,,,,,,,,,,
Salajka,,,,,CZ,Czech Republic,21.86,,,49.401542,18.417047,715-815,,,,,,963,359,604,31.3,,20.4,,-8.1,28.5,,,,5.6,B,,172,23,"Fa, Ab, Pi",,,,,,,,,,,,,,2014,,,,,,473,,,,,,,,,10 cm,,80,,,,,,,,,10 cm,1994,144,,,,,,,,,10 cm,,224,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,
Stozec,,,,CZ_Stoz,CZ,Czech Republic,52.8,16.2,CS,48.87394906,13.82261843,750-900,825,,793,,,1071,369,702,22.3,14.0,20.2,-4.0,-7.7,27.9,5.0,,,5.4,B,17.7,198,25,"Fa, Ac, Pi, Ul, Ab",F5b,0.49,0.20,0.32,G1A41,9180,,,,,I,F,1989,25,0,,,H,,663,322,0,0,26,106,29,180,0,10,1974,,,,,,,,,,10,1974,,,,,,,,,,10,1974,57,,,,,,,,,0.09,.,,,,,,,,,,,,,,,,,,,
V Kluci,,,,,CZ,Czech Republic,??,,,49.31331453,15.5229445,635-680,,,,,,726,360,366,19.8,,20.9,,-6.3,27.2,,,,6.4,B,,113,24,"Fa, Ul, Ac",,,,,,,,,,,,,,2014,,,,,,681,,,,,,,,,10 cm,,46,,,,,,,,,10 cm,1973,52,,,,,,,,,10 cm,,98,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,
V Kluci,,,,,CZ,Czech Republic,??,,,49.31331453,15.5229445,635-680,,,,,,726,360,366,20.8,,20.9,,-6.3,27.2,,,,6.4,B,,113,24,"Fa, Ac, Fr",,,,,,,,,,,,,,2014,,,,,,681,,,,,,,,,10 cm,,49,,,,,,,,,10 cm,2000,153,,,,,,,,,10 cm,,201,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,
V Klucí,,,,CZ_Kluci,CZ,Czech Republic,25.1,1.0,PP,49.31331453,15.5229445,635-680,658,,978,,,726,360,366,21.8,15.4,20.9,-4.5,-6.3,27.2,5.5,,,6.4,B,15.7,113,24,"Fa, Ac, Fr",F5a,0.76,0.24,0.00,G1.63,9130,W,,,,,,1953,61,0,,,H,,681,515,0,35,107,23,0,0,0,10,2000,49,19,0,0,5,24,0,0,0,10,2000,153,35,0,0,13,96,9,0,0,10,2000,201,54,0,0,18,120,9,0,0,0.30,0.24,,,,,,,,,,,,,,,,,,,
Zakova hora,,,,,CZ,Czech Republic,38.1,,,49.69682604,15.96033425,730-808,,,,,,704,354,350,25.7,,20.2,,-6.8,27.0,,,,6.0,B,,117,24,"Fa, Pi, Ac",,,,,,,,,,,,,,2014,,,,,,536,,,,,,,,,?,,,,,,,,,,,?,1974,,,,,,,,,,?,,181,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,
Zakova hora,,,,,CZ,Czech Republic,38.1,,,49.69682604,15.96033425,730-808,,,,,,704,354,350,25.7,,20.2,,-6.8,27.0,,,,6.0,B,,117,24,"Fa, Pi, Ac",,,,,,,,,,,,,,2014,,,,,,580,,,,,,,,,?,,30,,,,,,,,,?,1995,103,,,,,,,,,?,,133,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,
Zákova hora,,,,CZ_Zako,CZ,Czech Republic,38.1,17.5,CS,,,730-808,769,,736,,,704,354,350,25.7,15.9,20.2,-4.0,-6.8,27.0,5.0,,,6.0,B,21.6,117,24,"Fa, Pi, Ac",F5b,0.72,0.11,0.17,G1.61,9110,W,,,,,F,1933,81,1,,,H,,580,418,0,0,62,3,0,96,0,10,1995,30,15,0,0,1,0,1,13,0,10,1995,103,66,0,0,1,0,7,29,0,10,1995,133,81,0,0,2,0,8,42,0,0.23,0.23,,,,,,,,,,,,,,,,,,,
Zofín,,,,CZ_Zofin,CZ,Czech Republic,97.7,74.5,CS,48.66870991,14.70812081,735-825,780,792,915,,,928,360,568,27.7,13.6,21.0,-4.5,-7.0,28.2,4.3,,,6.0,B,14.9,155,23,"Pi, Fa, Ab",F5b,0.45,0.01,0.55,G1.63,9130,W,,Wa,,,,1838,176,1,V,,,,666,296,0,0,4,2,61,302,0,10,1975,49,15,0,0,0,0,20,14,0,10,1975,78,23,0,0,0,0,24,32,0,10,1975,127,37,0,0,0,0,44,46,0,0.19,0.38,,,,,,,,,,,,,,,, 0.02    , 1.79    , 1.47    ,
Knagerne,2001,KNA,2001_08,DK_Kna,DK,Denmark,5.6,5.6,LT,56.13505557,9.527007901,80-100,90,91,719,199,,750,352,398,13.7,15.5,19.3,0.0,-5.5,24.8,7.5,,15.0,7.2,P,21.6,104,23,Fa,F5a,1.00,0.00,0.00,G1.62,9120,W,,,,,F,1990,24,0,,,H,,449,449,0,0,0,0,0,0,0,5,2003,32,32,0,0,0,0,0,0,0,5,2003,58,58,0,0,0,0,0,0,1,5,2001,90,89,0,0,0,0,0,0,1,0.20,0.35,25,1-4,,,,,,25,88,,19.1,Fagus,6220675,532944,32V, 2.56    , 1.37    , 0.42    ,R3
Møns Klinteskov,2001,MON,2001_08,DK_Mon,DK,Denmark,25.0,25.0,LT,54.96598497,12.5383312,80-110,95,83,586,174,,581,561,20,4.0,16.2,19.6,0.2,-3.1,22.7,7.9,,15.6,7.9,L,27.6,74,23,Fa,F5a,1.00,0.00,0.00,G1.66,9150,W,,,,,F,1935,79,1,,,H,P,201,201,0,0,0,0,0,0,0,0,2001,25,25,0,0,0,0,0,0,0,5,2001,50,48,0,0,0,0,0,2,0,5,2001,74,72,0,0,0,0,0,2,0,0.37,0.34,50,1-6,,,,,,50,79,,7.6,Fagus,6093109,342497,33U, 0.27    , 0.24    , 0.68    ,R2
Strødam Reserve,2001,STR,2001_08,DK_Str,DK,Denmark,25.0,25.0,LT,55.95756558,12.27293591,20-25 m,"22,5",17,697,186,,618,375,243,8.2,16.2,19.9,-0.5,-4.4,24.3,7.7,,16.1,8.0,P,23.2,77,23,"Fa, Qu, Fr",F5a,0.88,0.14,0.00,G1.63,9130,W,,,,,F,1949,65,1,,,H,P,490,431,49,10,0,10,0,0,0,0,1983,39,39,0,0,0,0,0,0,0,5,2001,104,100,0,1,0,3,0,0,0,5,2001,143,139,0,1,0,3,0,0,0,0.29,0.27,50,1-6,77,4.0,0.32,0.22,0.78,50,129,,18.7,Broadleaved,6206106,329628,33U, 5.12    , 0.60    , 0.62    ,R3
Strødam Reserve,2001,STR,2001_08,,DK,Denmark,,,,55.95756558,12.27293591,,,,,186,,618,375,243,8.2,16.2,19.9,-0.5,-4.4,24.3,7.7,,16.1,8.0,P,23.2,77,23,"Fa, Qu, Fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5,78,3.0,0.31,0.23,0.77,47,,,,,,,, 5.12    , 0.60    , 0.62    ,
Suserup Skov,2001,SUS,2001_08,DK_Sus,DK,Denmark,19.0,10.6,LT,55.37829712,11.560565,10-30 m,20,18,644,172,,592,383,209,6.2,16.7,19.4,0.8,-2.9,22.2,8.1,,15.9,8.3,B,25.9,71,23,"Fa, Qu, Fr, Ul",F5a,0.62,0.38,0.00,G1.63,9130,W,,,,,F,1927,87,1,,,H,,674,420,100,100,1,53,0,0,0,3,2002,9,9,0,0,0,0,0,0,0,5,2001,159,117,34,5,0,2,0,0,0,5,2001,168,126,34,5,0,2,0,0,0,0.23,0.05,50,1-6,76,4.0,0.06,0.23,0.78,50,98,,10.8,Broadleaved,6138926,661596,32U, 5.91    , 2.25    , 0.66    ,R3
Suserup Skov,2001,SUS,2001_08,,DK,Denmark,,,,55.37829712,11.560565,,,,,172,,592,383,209,6.2,16.7,19.4,0.8,-2.9,22.2,8.1,,15.9,8.3,B,25.9,71,23,"Fa, Qu, Fr, Ul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5,75,3.0,0.06,0.24,0.77,47,,,,,,,, 5.91    , 2.25    , 0.66    ,
Suserup Skov E,,,,,DK,Denmark,5.5,,LT,,,10-30 m,,,644,,,592,383,209,6.2,16.7,19.4,0.8,-2.9,22.2,8.1,,,8.3,B,25.9,71,23,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.91    , 2.25    , 0.66    ,
Suserup Skov W,,,,,DK,Denmark,10.6,,LT,,,10-30 m,,,644,,,592,383,209,6.2,16.7,19.4,0.8,-2.9,22.2,8.1,,,8.3,B,25.9,71,23,"Fa,Qu, Fr, Ul",,,,,,,,,,,,,,2014,,,,,,674,,,,,,,,,3 cm,,9,,,,,,,,,5 cm,2001,159,,,,,,,,,5 cm,,168,,,,,,,,,,0.23,,,,,,,,,,,,,,,, 5.91    , 2.25    , 0.66    ,
Suserup Skov W,,,,,DK,Denmark,10.6,,LT,,,10-30 m,,,644,,,592,383,209,6.2,16.7,19.4,0.8,-2.9,22.2,8.1,,,8.3,B,25.9,71,23,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.91    , 2.25    , 0.66    ,
Velling,2001,VEL,2001_08,DK_Vel,DK,Denmark,24.0,24.0,LT,56.04304085,9.490758817,50-100,75,63,839,197,,747,350,397,14.7,15.5,19.5,0.0,-5.0,24.5,7.5,,15.2,7.5,P,18.5,100,23,Fa,F5a,1.00,0.00,0.00,G1.62,9120,W,,,,,F,1990,24,0,,,H,,489,489,0,0,0,0,0,0,0,0,2001,22,22,0,0,0,0,0,0,0,5,2001,70,68,0,0,0,0,0,2,0,5,2001,92,90,0,0,0,0,0,2,0,0.19,0.24,25,1-6,53,3.0,0.44,0.38,0.79,25,67,,11.7,Fagus,6210644,531152,32V, 2.10    , 1.42    , 0.44    ,R3
Buckholt Wood,,,,UK_Buck,UK,England,650.0,2.0,LT,51.81836591,-2.150829681,,210,,695,,,776,426,350,1.8,16.7,20.0,4.7,0.0,20.0,10.2,,,8.9,B,24.0,87,nn,"Fa, Fr",F5a,,,,G1.63,9130,W,,,D,,,1976,38,0,,,H,P,,,,,,,,,,,,3,2,0,0,0,1,0,0,0,3,2000,3,2,0,0,0,1,0,0,0,5,2000,6,4,0,0,0,2,0,0,0,.,0.52,,,,,,,,,,,,,,,, 0.72    , 0.87    , 0.21    ,
Burnham Beeches,2014,BUR,,,UK,England,,,,51.55487822,-0.634457938,,73,,,160,,670,410,260,1.1,,22.5,,-0.1,22.6,,,16.6,9.9,L,,68,,Fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5,70.5,3.0,0.36,0.43,0.62,20,51,67,6.9,,,,, 0.55    , 0.73    , 0.23    ,
Coed Ithel-Weir,,,,,UK,England,?,,,,,,,,,,,874,447,427,2.6,,20.9,,1.5,19.4,,,,10.0,B,,87,nn,"Fa, Qu, Ti",,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,11,,,,,,,,,5 cm,1994,11,,,,,,,,,5 cm,,22,,,,,,,,,,-,,,,,,,,,,,,,,,, 0.42    , 0.64    , 0.19    ,
Dendles Wood ,,,,UK_Dend,UK,England,29.0,8.0,LT,50.40116644,-3.994934584,,160,,933,,,1024,489,535,0.6,16.4,19.4,4.1,2.3,17.1,9.7,,,9.9,B,17.6,103,nn,"Fa, Qu, Ca",F5a,,,,G1.62,9120,W,,,D,,,1965,49,0,,,H,P,,,,,,,,,,,,66,35,18,0,0,2,5,0,0,3,1998,113,47,47,0,0,13,1,0,4,5,1998,179,83,66,0,0,15,6,0,4,.,0.37,,,,,,,,,,,,,,,, 2.01    , 0.61    , 0.12    ,
Denny Inclosure ,2014,DEN,,UK_Denny,UK,England,25.0,2.0,LT,50.85975579,-1.528760063,,35,,649,153,,783,437,346,1.0,16.6,21.8,3.7,1.4,20.4,9.7,,16.3,10.3,L,25.6,76,nn,"Fa, Qu",F5a,,,,G1.62,9120,W,,,D,,,1955,59,0,,,H,P,,,,,,,,,,,,91,44,43,0,0,3,0,0,0,1,1996,201,122,79,0,0,1,0,0,0,5,1996,292,166,122,0,0,4,0,0,0,,0.31,,,79,3.1,0.39,0.40,0.67,20,65,85,11.4,,,,, 1.54    , 1.14    , 0.25    ,
Epping Forest,2014,EPP,,,UK,England,,,,51.66690392,0.054204099,,,108,,157,,643,416,227,1.1,,22.2,,0.5,21.7,,,16.6,10.2,L,,63,49,Fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5,69.7,2.9,0.25,0.43,0.54,21,45,68,6.2,,,,, 0.27    , 0.17    , 0.21    ,
Lady Park Wood ,2014,LPW,,UK_LadyP,UK,England,35.0,.,PP,51.82574034,-2.657115479,,120,70,933,177,,795,449,346,2.5,16.4,20.6,4.1,1.3,19.3,9.7,,15.6,9.7,B,17.6,82,nn,"Fa, Fr, Qu, Ti",F5a,,,,G1.63,9130,W,,,D,,,1944,70,1,,C,,,,,,,,,,,,,,29,,,,,,,,,5,1995,54,,,,,,,,,5,1995,83,,,,,,,,,,0.35,,,50.5,2.9,0.40,0.44,0.63,20,53,63,6.8,,,,, 0.22    , 0.41    , 0.18    ,
Lady Park Wood I (old-growth),2014,,,,UK,England,35,,,51.82574034,-2.657115479,,,,933,,,795,449,346,2.5,16.4,20.6,4.1,1.3,19.3,9.7,,,9.7,B,17.6,82,nn,"Fa, Fr, Qu, Ti",,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,22,,,,,,,,,5 cm,1995,77,,,,,,,,,5 cm,,99,,,,,,,,,,-,,,,,,,,,,,,,,,, 0.22    , 0.41    , 0.18    ,
Lady Park Wood II (old-growth),2014,,,,UK,England,35,,,51.82574034,-2.657115479,,,,933,,,795,449,346,2.5,16.4,20.6,4.1,1.3,19.3,9.7,,,9.7,B,17.6,82,nn,"Fa, Fr, Qu, Ti",,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,32,,,,,,,,,5 cm,1995,81,,,,,,,,,5 cm,,112,,,,,,,,,,-,,,,,,,,,,,,,,,, 0.22    , 0.41    , 0.18    ,
Lady Park Wood III (old-growth),2014,,,,UK,England,35,,,51.82574034,-2.657115479,,,,933,,,795,449,346,2.5,16.4,20.6,4.1,1.3,19.3,9.7,,,9.7,B,17.6,82,nn,"Fa, Fr, Qu, Ti",,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,42,,,,,,,,,5 cm,1995,46,,,,,,,,,5 cm,,87,,,,,,,,,,-,,,,,,,,,,,,,,,, 0.22    , 0.41    , 0.18    ,
Lady Park Wood V & IV (old-growth),2014,,,,UK,England,35,,,51.82574034,-2.657115479,,,,933,,,795,449,346,2.5,16.4,20.6,4.1,1.3,19.3,9.7,,,9.7,B,17.6,82,nn,"Fa, Fr, Qu, Ti",,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,20,,,,,,,,,5 cm,1995,15,,,,,,,,,5 cm,,35,,,,,,,,,,-,,,,,,,,,,,,,,,, 0.22    , 0.41    , 0.18    ,
Mark Ash Inclosure,,,,,UK,England,,,,,,,,,,,,795,350,445,1.2,,21.4,,1.0,20.4,,,,9.7,L,,82,nn,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6.18    , 1.46    , 0.24    ,
Noar Hill Hanger,,,,UK_Noar,UK,England,20.0,7.0,LT,51.08292824,-0.935857546,,160,,649,,,870,337,533,1.9,16.6,21.2,3.7,-0.5,21.7,9.7,,,9.2,L,25.6,95,nn,"Fa, Fr",F5a,,,,G1.63,9130,W,,,D,,,1987,27,0,,C,H,P,,,,,,,,,,,,41,41,0,0,0,0,0,0,0,5,2000,309,297,0,10,0,2,0,0,0,5,2000,350,337,0,10,0,3,0,0,0,.,0.12,,,,,,,,,,,,,,,, 0.09    , 0.52    , 0.25    ,
Ridge Hanger,,,,UK_Ridge,UK,England,20.0,5.0,LT,,,,190 ,,649,,,882,337,545,1.6,16.6,20.9,3.7,-0.7,21.6,9.7,,,9.0,L,25.6,98,nn,"Fa, Fr",F5a,,,,G1.63,9130,W,,,D,,,1987,27,0,,C,H,P,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,5,2001,272,254,2,16,0,1,0,0,0,5,2001,273,254,2,16,0,1,0,0,0,.,0.00,,,,,,,,,,,,,,,, 0.49    , 0.52    , 0.25    ,
Roydon Reserve,,,,,UK,England,,,,,,,,,,,,787,350,437,0.6,,21.7,,1.5,20.2,,,,10.3,L,,76,nn,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6.39    , 1.38    , 0.24    ,
Savarnake,2014,SAV,,,UK,England,,,,51.38209089,-1.674997506,,,187,,165,,736,406,330,1.3,,20.7,,-0.3,21.0,,,15.3,9.1,L,,81,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-5,107,2.9,0.49,0.44,0.61,21,63,83,9.2,,,,, 1.75    , 0.99    , 0.25    ,
The Mens,,,,UK_Mens,UK,England,154.0,17.0,LT,51.00383,-0.542943,,35,,695,,,727,445,282,1.4,16.7,22.0,4.7,0.3,21.7,10.2,,,9.9,L,24.0,73,nn,"Fa, Qu",F5a,,,,G1.63,9130,W,,,D,,,1970,44,0,,,H,P,,,,,,,,,,,,28,5,22,0,0,0,0,0,0,6,1998,88,57,28,1,0,1,0,0,0,5,2001,115,62,50,1,0,2,0,0,0,.,0.24,,,,,,,,,,,,,,,, 0.00    , 0.39    , 0.25    ,
Toy's Hill,,,,UK_Toys,UK,England,154.0,20.0,LT,,,,200,,695,,,,,0,,16.7,,4.7,,,10.2,,,,,24.0,NA,nn,"Fa, Be, Qu",F5a,,,,G1.62,9120,W,,,D,,,1987,27,0,,,,P,,,,,,,,,,,,31,30,0,0,0,1,0,0,0,5,1999,470,470,0,0,0,0,0,0,0,5,1999,501,500,0,0,0,1,0,0,0,.,0.06,,,,,,,,,,,,,,,,,,,
Whitley Wood,,,,,UK,England,,,,,,,,,,,,783,437,346,1.0,,21.7,,1.2,20.5,,,,10.2,L,,77,nn,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6.94    , 1.48    , 0.25    ,
Wood Crate,2014,WOO,,,UK,England,,,,50.87949398,-1.626741588,,,,,155,,796,437,359,1.8,,21.5,,0.9,20.6,,,16.0,9.9,L,,80,nn,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7,3.0,0.48,0.40,0.55,20,64,107,10,,,,, 6.94    , 1.48    , 0.25    ,
